clb1_kernels,clb1_kernel_size,clb1_stride,clb1_activation,clb1_pool_type,clb1_pool_size,clb1_pool_stride,clb2_kernels,clb2_kernel_size,clb2_stride,clb2_activation,clb2_pool_type,clb2_pool_size,clb2_pool_stride,clb3_kernels,clb3_kernel_size,clb3_stride,clb3_activation,clb4_kernels,clb4_kernel_size,clb4_stride,clb4_activation,clb5_kernels,clb5_kernel_size,clb5_stride,clb5_activation,clb5_pool_type,clb5_pool_size,clb5_pool_stride,fc1_neurons,fc1_dropout,fc2_neurons,fc2_dropout,fc3_neurons,fc3_dropout,fc4_neurons,fc4_dropout,learning_rate,num_epochs,batch_size
100,5,4,relu,avg,3,1,64,7,4,relu,avg,2,1,64,3,1,leakyrelu,160,5,4,relu,160,3,4,leakyrelu,avg,3,2,64,0.5,256,0.2,512,0.5,32,0.3,0.0001,3,32
32,3,1,relu,avg,3,1,224,3,4,relu,max,2,2,224,3,1,leakyrelu,32,3,4,sigmoid,128,7,1,sigmoid,avg,3,2,512,0.5,32,0.3,64,0.3,16,0.5,0.002,3,64
100,7,1,tanh,avg,2,1,256,3,4,leakyrelu,max,2,1,32,5,1,relu,224,3,4,sigmoid,256,5,4,leakyrelu,max,2,1,128,0.4,512,0.2,512,0.4,128,0.4,0.0008,3,32
96,5,1,tanh,avg,3,1,96,3,1,relu,avg,2,1,64,5,4,relu,160,3,4,tanh,256,3,4,tanh,max,2,1,256,0.4,256,0.3,16,0.1,512,0.5,0.0005,3,32
256,7,1,leakyrelu,max,2,2,64,3,4,leakyrelu,max,2,1,100,3,1,relu,96,7,1,relu,192,3,4,tanh,max,2,1,256,0.3,256,0.5,512,0.3,256,0.2,0.0001,3,32
64,5,4,leakyrelu,avg,3,2,96,5,1,relu,max,3,1,160,5,1,leakyrelu,96,5,4,relu,96,3,4,leakyrelu,avg,2,2,32,0.1,64,0.1,16,0.3,128,0.1,0.0005,3,64
100,5,4,leakyrelu,max,3,1,160,7,1,tanh,avg,3,1,64,7,4,tanh,100,5,1,sigmoid,32,3,4,leakyrelu,max,2,2,512,0.3,256,0.5,16,0.4,64,0.2,0.0005,3,64
64,7,1,leakyrelu,max,3,1,32,7,4,tanh,max,2,1,96,7,1,leakyrelu,32,7,1,leakyrelu,100,7,4,tanh,max,3,2,128,0.4,256,0.5,64,0.2,256,0.5,0.005,3,32
100,3,4,relu,avg,3,1,100,7,1,leakyrelu,avg,2,1,64,5,1,relu,192,5,4,tanh,128,5,1,tanh,max,3,1,512,0.2,512,0.2,64,0.3,64,0.4,0.0002,3,32
256,3,4,sigmoid,avg,3,2,96,3,1,relu,max,3,1,64,5,1,leakyrelu,160,5,4,sigmoid,160,7,1,leakyrelu,max,2,1,16,0.1,32,0.2,256,0.1,32,0.1,0.0005,3,32
100,3,4,leakyrelu,avg,2,1,100,7,1,leakyrelu,avg,3,1,32,5,1,relu,160,5,4,sigmoid,128,7,1,tanh,avg,2,1,16,0.1,0,,0,,512,0.3,0.002,3,32
32,3,4,sigmoid,avg,2,1,192,7,1,sigmoid,avg,3,2,64,7,1,leakyrelu,256,5,4,relu,256,7,4,sigmoid,avg,3,2,128,0.1,0,,0,,16,0.1,0.001,3,32
224,3,4,leakyrelu,avg,3,2,128,7,4,sigmoid,avg,3,2,160,3,4,relu,192,3,1,sigmoid,224,5,1,tanh,avg,2,1,512,0.2,128,0.5,128,0.2,512,0.5,0.001,3,64
192,7,1,relu,avg,2,2,256,7,1,sigmoid,max,2,1,224,7,1,sigmoid,64,7,1,sigmoid,128,3,1,leakyrelu,avg,2,1,128,0.3,64,0.1,0,,16,0.4,0.004,3,64
224,5,4,leakyrelu,max,3,2,224,7,1,relu,max,3,2,64,7,4,sigmoid,128,5,1,relu,96,7,4,relu,avg,3,1,512,0.5,256,0.2,16,0.2,64,0.3,0.0002,3,32
100,3,4,relu,avg,2,2,192,3,1,relu,avg,3,2,32,5,4,leakyrelu,256,3,1,sigmoid,96,3,1,tanh,avg,2,2,256,0.4,32,0.5,256,0.4,128,0.3,0.005,3,32
224,3,4,leakyrelu,max,3,1,32,7,4,tanh,max,2,2,224,7,4,leakyrelu,224,7,4,leakyrelu,64,5,4,relu,max,2,1,128,0.3,512,0.2,16,0.1,16,0.4,0.0002,3,64
128,5,1,leakyrelu,avg,2,2,100,7,4,relu,avg,3,2,224,5,1,sigmoid,100,5,1,tanh,64,5,4,relu,max,3,2,128,0.4,512,0.5,32,0.5,256,0.2,0.008,3,64
224,3,4,tanh,avg,2,2,160,3,1,relu,avg,2,1,128,3,4,sigmoid,32,7,1,sigmoid,224,3,1,leakyrelu,avg,2,1,16,0.4,256,0.5,16,0.4,32,0.3,0.008,3,32
128,7,4,sigmoid,max,3,2,64,5,1,leakyrelu,max,3,1,128,5,4,leakyrelu,224,3,1,leakyrelu,192,3,4,sigmoid,avg,2,1,0,,0,,0,,32,0.3,0.0002,3,32
32,7,4,sigmoid,avg,3,1,224,7,1,relu,max,2,2,192,3,4,tanh,192,5,4,relu,100,7,4,tanh,avg,2,2,32,0.1,0,,0,,512,0.4,0.01,3,64
256,7,1,sigmoid,max,2,1,224,3,4,tanh,max,2,2,256,5,1,leakyrelu,224,3,1,tanh,192,3,1,tanh,avg,3,2,512,0.1,0,,0,,512,0.4,0.01,3,32
100,3,1,leakyrelu,max,3,1,256,5,1,tanh,avg,3,2,64,3,1,tanh,128,7,4,tanh,192,3,4,tanh,avg,2,1,32,0.4,0,,0,,512,0.3,0.001,3,64
128,5,1,leakyrelu,max,3,1,96,7,1,relu,avg,2,1,160,5,1,relu,96,7,1,tanh,256,5,1,leakyrelu,max,2,1,128,0.5,16,0.1,64,0.4,64,0.3,0.005,3,32
32,3,4,relu,avg,2,2,224,3,4,relu,max,3,2,32,7,4,relu,64,5,1,sigmoid,192,3,4,sigmoid,max,3,1,512,0.2,32,0.2,256,0.5,32,0.2,0.0008,3,32
32,5,4,leakyrelu,max,3,1,64,3,1,leakyrelu,avg,3,2,128,3,4,sigmoid,96,5,1,tanh,256,7,1,sigmoid,avg,3,2,0,,0,,0,,32,0.4,0.008,3,64
64,3,1,sigmoid,avg,3,2,160,7,4,relu,avg,2,2,192,7,1,leakyrelu,128,7,1,sigmoid,64,3,4,leakyrelu,avg,3,2,0,,0,,0,,256,0.4,0.01,3,64
256,5,4,relu,avg,3,1,128,5,4,tanh,max,3,2,160,5,4,leakyrelu,100,7,4,relu,100,7,1,sigmoid,avg,2,1,64,0.1,128,0.5,256,0.2,256,0.1,0.0002,3,64
100,3,4,sigmoid,max,2,2,64,7,4,sigmoid,max,2,2,192,7,4,relu,32,5,1,tanh,192,5,4,leakyrelu,max,3,1,128,0.4,512,0.3,32,0.2,128,0.2,0.002,3,64
100,7,1,leakyrelu,avg,2,2,224,5,1,relu,max,2,2,128,5,4,relu,96,3,1,relu,128,7,1,tanh,max,2,2,256,0.4,64,0.3,0,,16,0.1,0.0005,3,64
192,5,1,leakyrelu,avg,3,1,32,7,1,sigmoid,max,2,2,256,7,4,relu,192,3,4,tanh,256,3,4,tanh,avg,2,1,32,0.5,0,,0,,512,0.3,0.0001,3,32
128,5,4,relu,max,3,2,96,5,4,relu,max,3,2,192,3,1,sigmoid,256,7,1,sigmoid,96,5,4,sigmoid,avg,2,1,512,0.2,512,0.1,512,0.3,512,0.2,0.0008,3,64
32,3,4,tanh,max,2,2,64,3,1,relu,avg,3,1,192,7,1,tanh,64,3,4,tanh,160,5,1,tanh,max,3,2,64,0.1,512,0.5,512,0.3,128,0.1,0.0002,3,32
100,7,4,tanh,max,2,2,160,5,1,tanh,avg,3,1,96,3,1,sigmoid,128,5,1,sigmoid,32,7,1,sigmoid,max,3,2,0,,0,,0,,32,0.2,0.004,3,64
32,7,4,leakyrelu,avg,2,1,32,3,4,tanh,max,2,1,256,3,4,sigmoid,128,3,4,sigmoid,192,5,1,leakyrelu,max,2,2,128,0.1,256,0.1,128,0.4,128,0.5,0.004,3,64
32,5,4,tanh,max,2,2,64,3,4,leakyrelu,max,3,1,100,5,1,leakyrelu,96,3,1,relu,64,3,4,relu,avg,3,1,512,0.3,16,0.3,0,,32,0.2,0.008,3,32
64,3,1,sigmoid,max,2,2,32,3,1,relu,max,2,1,256,3,4,relu,64,7,1,sigmoid,96,3,4,relu,max,2,1,32,0.2,64,0.2,128,0.5,16,0.4,0.004,3,32
256,5,4,leakyrelu,max,2,2,96,3,4,relu,max,2,1,256,7,4,tanh,128,5,1,sigmoid,256,3,1,tanh,max,2,1,128,0.5,32,0.4,512,0.2,256,0.2,0.005,3,32
32,5,4,tanh,avg,3,1,100,7,1,relu,avg,3,1,100,5,1,tanh,224,5,1,leakyrelu,256,3,4,sigmoid,max,2,2,128,0.4,128,0.1,16,0.1,32,0.4,0.001,3,64
64,3,1,tanh,avg,2,2,96,3,1,leakyrelu,max,3,2,96,3,4,tanh,160,3,1,leakyrelu,160,5,1,tanh,max,3,1,0,,0,,0,,16,0.5,0.01,3,32
96,7,1,leakyrelu,max,3,1,192,5,4,relu,avg,2,2,64,7,1,sigmoid,224,7,1,leakyrelu,100,7,1,leakyrelu,max,3,2,256,0.2,32,0.5,64,0.3,256,0.4,0.0002,3,32
64,5,1,tanh,avg,3,2,32,5,1,tanh,max,3,2,192,3,1,relu,192,3,4,tanh,100,7,1,sigmoid,avg,2,2,256,0.1,32,0.5,128,0.1,512,0.4,0.01,3,32
192,5,1,sigmoid,max,3,1,96,7,1,relu,avg,3,1,64,7,4,relu,64,7,1,leakyrelu,256,5,4,sigmoid,avg,2,2,16,0.5,32,0.5,0,,128,0.3,0.005,3,64
32,3,4,leakyrelu,avg,3,1,128,5,1,sigmoid,avg,3,2,256,7,4,leakyrelu,32,7,4,tanh,128,3,1,relu,max,3,1,128,0.3,128,0.3,512,0.5,64,0.3,0.005,3,64
256,5,4,relu,avg,2,2,192,3,1,leakyrelu,avg,3,1,160,3,4,sigmoid,192,5,1,relu,96,7,4,sigmoid,avg,3,1,0,,0,,0,,128,0.1,0.0002,3,64
160,5,4,leakyrelu,avg,2,2,64,5,4,relu,max,3,1,256,5,4,relu,100,5,1,relu,224,7,1,sigmoid,max,3,2,256,0.4,256,0.5,16,0.1,32,0.2,0.01,3,64
160,7,1,relu,max,2,1,32,7,1,tanh,max,3,1,160,7,4,sigmoid,32,7,1,sigmoid,224,5,4,relu,max,2,1,16,0.3,512,0.2,512,0.1,64,0.3,0.0008,3,32
224,3,4,leakyrelu,max,3,1,256,5,4,relu,avg,2,2,64,7,4,leakyrelu,100,5,1,leakyrelu,192,5,1,leakyrelu,max,3,1,16,0.4,32,0.1,128,0.1,512,0.4,0.001,3,64
100,7,4,sigmoid,avg,2,2,96,5,1,tanh,max,2,1,32,5,1,leakyrelu,100,3,1,sigmoid,256,3,4,sigmoid,max,3,1,16,0.5,16,0.5,0,,512,0.3,0.0005,3,32
96,5,1,tanh,max,2,2,256,7,1,tanh,max,2,1,96,7,1,tanh,256,7,1,leakyrelu,32,5,4,sigmoid,max,3,1,128,0.3,512,0.5,0,,256,0.4,0.004,3,64
192,3,1,relu,avg,2,1,160,5,4,relu,max,2,1,160,3,1,leakyrelu,256,7,1,relu,96,5,1,relu,max,3,1,512,0.4,512,0.1,32,0.3,32,0.5,0.01,3,64
256,7,1,sigmoid,max,3,2,192,3,1,sigmoid,max,2,2,100,5,4,tanh,96,7,4,leakyrelu,256,3,4,leakyrelu,max,2,1,64,0.3,256,0.1,0,,32,0.1,0.002,3,64
64,3,1,tanh,avg,3,2,64,7,1,sigmoid,max,3,2,224,3,4,leakyrelu,256,7,1,tanh,224,7,4,tanh,avg,2,1,16,0.4,128,0.2,16,0.1,32,0.3,0.001,3,64
128,3,4,tanh,avg,3,2,256,5,4,sigmoid,max,3,2,224,7,4,leakyrelu,96,3,1,sigmoid,128,7,1,sigmoid,max,3,2,512,0.1,256,0.3,128,0.1,64,0.3,0.002,3,64
256,5,4,relu,avg,2,1,64,7,1,tanh,avg,3,1,256,5,4,leakyrelu,32,7,1,sigmoid,32,3,4,relu,avg,3,1,32,0.5,0,,0,,128,0.2,0.0008,3,64
64,5,1,tanh,avg,2,2,160,3,1,leakyrelu,max,2,1,256,3,4,tanh,32,3,1,relu,96,3,1,leakyrelu,max,2,2,128,0.5,32,0.1,256,0.2,128,0.5,0.01,3,32
256,7,1,sigmoid,max,3,1,160,7,1,tanh,avg,3,1,32,7,1,tanh,128,7,4,tanh,100,5,1,sigmoid,avg,3,2,128,0.2,128,0.2,32,0.4,256,0.2,0.002,3,32
224,3,4,sigmoid,avg,2,2,100,7,4,tanh,avg,2,1,64,7,4,sigmoid,256,5,1,relu,64,3,1,tanh,avg,3,2,256,0.3,512,0.4,32,0.1,128,0.3,0.0005,3,32
192,3,4,leakyrelu,max,3,1,256,7,1,leakyrelu,max,2,2,32,7,4,leakyrelu,160,7,4,tanh,256,7,1,tanh,avg,3,1,0,,0,,0,,16,0.3,0.0002,3,64
256,3,4,sigmoid,max,2,2,224,7,4,sigmoid,max,2,1,224,3,4,leakyrelu,192,7,4,tanh,128,7,1,leakyrelu,avg,2,2,64,0.2,32,0.4,32,0.5,16,0.5,0.0008,3,32
160,7,1,tanh,avg,2,2,256,7,4,sigmoid,max,2,1,100,7,1,sigmoid,224,3,4,relu,160,7,4,relu,max,2,2,256,0.3,16,0.4,128,0.5,512,0.4,0.0005,3,64
256,7,4,tanh,max,3,2,32,7,1,sigmoid,avg,3,2,160,7,1,tanh,64,3,4,sigmoid,100,7,1,relu,avg,3,1,512,0.5,32,0.2,16,0.4,16,0.5,0.0002,3,64
96,5,4,relu,avg,2,1,96,5,4,tanh,avg,2,2,64,7,1,relu,256,5,1,relu,96,3,1,sigmoid,max,2,2,64,0.2,32,0.5,512,0.4,32,0.2,0.0001,3,64
32,3,4,leakyrelu,avg,2,1,224,7,1,sigmoid,avg,3,2,100,7,1,sigmoid,224,5,1,relu,64,5,4,sigmoid,avg,2,1,128,0.4,256,0.1,32,0.4,32,0.5,0.002,3,32
256,3,4,leakyrelu,max,3,2,224,7,4,tanh,max,2,2,192,7,1,tanh,32,3,4,leakyrelu,192,3,1,relu,max,3,2,512,0.5,16,0.3,512,0.2,512,0.4,0.004,3,32
32,7,4,sigmoid,avg,3,2,32,5,1,relu,avg,2,1,100,5,1,relu,96,3,4,leakyrelu,64,3,1,relu,max,2,2,128,0.4,512,0.5,256,0.5,64,0.5,0.01,3,32
96,5,4,tanh,max,3,2,224,3,4,relu,max,3,1,160,7,1,relu,192,3,4,tanh,128,5,1,sigmoid,max,2,1,64,0.1,512,0.4,512,0.4,64,0.4,0.005,3,32
224,5,1,tanh,avg,2,2,96,5,1,relu,max,2,2,64,5,4,leakyrelu,32,7,4,tanh,192,3,1,leakyrelu,max,3,1,512,0.2,64,0.3,16,0.2,32,0.4,0.01,3,64
128,7,4,sigmoid,avg,2,2,32,7,4,relu,avg,2,2,100,3,4,tanh,96,3,4,leakyrelu,224,3,4,leakyrelu,avg,3,1,32,0.2,128,0.4,256,0.3,16,0.1,0.01,3,64
224,7,1,relu,max,2,2,100,7,4,sigmoid,avg,3,1,160,5,1,sigmoid,100,5,1,relu,64,7,4,sigmoid,max,3,1,128,0.4,64,0.3,0,,512,0.4,0.004,3,32
32,3,1,leakyrelu,max,2,2,160,3,4,leakyrelu,avg,3,2,64,7,4,leakyrelu,160,5,1,tanh,100,5,4,relu,max,3,1,0,,0,,0,,32,0.1,0.008,3,32
256,7,1,leakyrelu,avg,3,1,192,7,4,leakyrelu,avg,3,1,224,3,1,relu,96,3,4,relu,32,3,4,relu,max,2,1,64,0.4,128,0.2,32,0.5,32,0.1,0.001,3,32
32,3,4,relu,avg,3,2,96,7,4,relu,max,2,2,160,3,1,leakyrelu,224,3,1,relu,128,3,4,leakyrelu,avg,2,2,16,0.3,32,0.1,512,0.4,128,0.4,0.0002,3,64
128,5,1,tanh,max,3,1,128,5,1,relu,avg,2,1,192,3,4,tanh,64,7,1,relu,96,3,4,sigmoid,max,2,2,256,0.1,128,0.5,0,,32,0.1,0.0001,3,64
160,7,4,leakyrelu,max,3,1,96,5,1,tanh,avg,3,1,64,5,1,sigmoid,224,5,1,leakyrelu,192,7,4,sigmoid,avg,2,2,0,,0,,0,,32,0.4,0.002,3,32
128,7,1,tanh,max,3,1,224,5,1,tanh,avg,2,1,100,7,1,relu,192,5,4,relu,128,3,1,sigmoid,avg,3,2,16,0.1,512,0.2,64,0.2,256,0.5,0.002,3,32
100,7,4,tanh,max,3,1,192,7,1,tanh,avg,3,1,192,7,1,relu,128,3,4,tanh,160,3,1,tanh,max,3,1,128,0.5,16,0.4,64,0.1,256,0.4,0.008,3,64
256,3,4,leakyrelu,avg,3,2,128,3,4,tanh,max,2,2,160,5,4,relu,128,3,4,tanh,100,7,1,tanh,avg,3,2,64,0.2,512,0.4,16,0.1,256,0.2,0.0005,3,64
160,7,4,tanh,avg,3,2,192,3,1,sigmoid,avg,2,1,32,5,4,tanh,100,5,4,leakyrelu,160,7,1,tanh,avg,2,2,16,0.4,16,0.3,64,0.4,16,0.1,0.0002,3,32
256,7,1,tanh,avg,3,1,192,3,4,sigmoid,max,2,1,96,7,1,leakyrelu,224,7,4,sigmoid,32,3,1,tanh,avg,2,2,16,0.3,0,,0,,32,0.2,0.001,3,64
192,3,1,sigmoid,max,2,2,160,3,1,tanh,avg,3,2,224,5,1,relu,256,7,4,sigmoid,128,5,1,tanh,avg,2,1,256,0.1,512,0.4,0,,16,0.1,0.001,3,64
64,5,4,tanh,max,2,1,160,5,1,tanh,avg,2,1,96,5,1,leakyrelu,64,5,4,sigmoid,256,3,1,leakyrelu,avg,3,2,0,,0,,0,,32,0.3,0.005,3,64
224,3,4,leakyrelu,avg,2,2,96,3,1,leakyrelu,avg,3,2,224,5,4,relu,64,5,1,relu,256,5,1,leakyrelu,max,2,1,32,0.5,256,0.4,256,0.1,64,0.5,0.0005,3,64
96,5,4,sigmoid,max,3,1,128,5,4,sigmoid,avg,2,1,64,7,1,leakyrelu,96,7,1,relu,64,3,1,tanh,max,2,1,32,0.3,128,0.2,128,0.1,32,0.4,0.001,3,64
96,7,4,leakyrelu,avg,3,1,100,7,1,relu,avg,2,2,128,5,4,tanh,64,7,4,tanh,32,3,1,relu,avg,2,1,128,0.1,16,0.4,256,0.3,128,0.5,0.008,3,64
192,3,4,relu,max,2,1,224,7,4,relu,avg,3,2,96,7,1,relu,64,5,4,sigmoid,160,3,4,sigmoid,max,3,1,256,0.2,16,0.4,32,0.3,512,0.5,0.004,3,32
64,5,4,sigmoid,avg,3,1,256,3,4,tanh,avg,3,2,100,5,4,relu,100,3,4,leakyrelu,128,5,4,tanh,avg,3,2,64,0.4,64,0.3,32,0.2,32,0.1,0.0005,3,64
256,3,1,sigmoid,max,2,1,128,5,1,leakyrelu,avg,3,2,224,5,4,relu,100,7,1,leakyrelu,96,5,1,relu,avg,2,1,128,0.2,512,0.5,32,0.4,128,0.4,0.008,3,64
160,3,1,relu,avg,2,2,64,7,1,relu,avg,2,2,160,3,1,tanh,96,3,1,sigmoid,160,5,1,relu,max,3,1,256,0.4,64,0.2,0,,512,0.5,0.0005,3,32
32,5,1,tanh,max,3,2,100,5,4,sigmoid,avg,3,2,128,5,4,leakyrelu,256,5,4,relu,128,7,1,relu,max,3,1,128,0.4,16,0.2,64,0.3,64,0.3,0.0001,3,32
128,5,1,relu,max,3,1,96,5,1,leakyrelu,avg,2,2,224,5,4,sigmoid,100,5,4,tanh,224,5,1,sigmoid,avg,2,2,512,0.3,128,0.2,64,0.3,64,0.3,0.005,3,32
96,7,4,leakyrelu,avg,2,1,128,5,4,sigmoid,max,2,2,224,7,4,leakyrelu,160,5,4,tanh,224,7,4,tanh,avg,2,2,16,0.1,64,0.4,0,,16,0.3,0.002,3,32
128,5,4,tanh,max,3,1,100,7,4,tanh,avg,2,2,192,3,1,sigmoid,64,7,1,relu,128,7,4,sigmoid,max,3,2,256,0.1,0,,0,,64,0.4,0.001,3,64
32,7,1,relu,avg,2,1,160,3,4,leakyrelu,max,2,1,160,5,4,leakyrelu,96,3,4,tanh,224,7,1,relu,avg,3,1,128,0.1,0,,0,,16,0.3,0.002,3,64
96,3,1,sigmoid,max,3,1,192,3,4,relu,avg,2,2,100,5,1,tanh,160,5,4,relu,224,3,4,leakyrelu,avg,3,1,16,0.3,512,0.3,64,0.5,16,0.5,0.004,3,64
128,7,1,leakyrelu,avg,3,1,224,5,1,relu,max,2,1,32,5,4,relu,160,3,4,leakyrelu,64,5,1,tanh,avg,3,2,128,0.1,0,,0,,512,0.3,0.002,3,64
100,3,4,sigmoid,avg,2,2,64,7,1,leakyrelu,avg,2,1,96,5,1,tanh,96,5,1,tanh,128,5,4,leakyrelu,max,3,2,16,0.2,256,0.3,32,0.1,512,0.5,0.002,3,32
100,7,4,leakyrelu,avg,2,1,96,7,4,tanh,max,3,1,96,3,1,relu,256,7,1,relu,224,5,1,leakyrelu,max,3,1,64,0.1,512,0.4,512,0.3,64,0.2,0.005,3,64
96,3,1,leakyrelu,avg,2,1,32,3,4,tanh,max,3,1,192,3,4,sigmoid,32,3,4,relu,100,5,1,tanh,max,2,1,16,0.1,0,,0,,16,0.4,0.0008,3,64
128,7,4,leakyrelu,avg,3,1,192,5,4,sigmoid,max,3,1,256,3,1,relu,192,7,4,relu,32,3,4,sigmoid,avg,2,2,256,0.5,512,0.3,0,,64,0.1,0.0005,3,32
160,7,1,sigmoid,avg,2,2,32,3,1,relu,avg,2,2,128,3,1,sigmoid,32,7,1,leakyrelu,256,5,1,relu,max,2,1,512,0.4,0,,0,,32,0.1,0.005,3,32
224,7,1,sigmoid,max,2,2,128,3,4,tanh,avg,3,1,160,5,4,relu,32,3,1,sigmoid,192,5,4,sigmoid,avg,2,1,512,0.4,64,0.4,0,,64,0.1,0.008,3,64
224,3,1,leakyrelu,avg,2,1,32,3,4,relu,max,2,1,224,3,4,relu,100,7,4,tanh,256,5,4,leakyrelu,max,3,2,32,0.2,512,0.1,256,0.4,512,0.5,0.01,3,64
128,3,1,relu,avg,3,1,32,7,1,tanh,avg,2,2,224,3,1,tanh,32,5,1,leakyrelu,224,5,1,relu,max,3,1,256,0.3,0,,0,,512,0.2,0.004,3,32
64,3,1,sigmoid,max,3,1,224,7,1,sigmoid,avg,3,2,160,3,1,leakyrelu,256,5,4,sigmoid,224,7,4,tanh,avg,2,2,256,0.2,512,0.4,512,0.5,128,0.3,0.01,3,64
256,3,4,relu,max,3,2,32,5,1,sigmoid,avg,3,2,128,7,4,sigmoid,224,5,4,sigmoid,224,7,4,sigmoid,max,2,1,16,0.1,32,0.2,256,0.3,64,0.3,0.004,3,64
96,7,1,relu,max,3,2,192,3,1,sigmoid,max,2,1,32,5,4,leakyrelu,96,5,4,leakyrelu,128,7,4,sigmoid,avg,3,1,0,,0,,0,,32,0.4,0.005,3,32
32,3,4,sigmoid,avg,2,1,32,7,4,leakyrelu,max,2,2,224,7,1,relu,192,7,1,leakyrelu,96,7,1,leakyrelu,avg,3,1,128,0.4,0,,0,,16,0.4,0.002,3,64
224,5,4,relu,max,2,1,100,3,4,tanh,max,3,2,128,5,4,relu,224,3,4,leakyrelu,192,5,1,tanh,max,2,2,128,0.5,32,0.2,64,0.1,64,0.2,0.002,3,32
100,7,4,sigmoid,max,2,2,100,7,4,leakyrelu,max,3,1,96,7,1,tanh,96,3,4,leakyrelu,128,5,1,leakyrelu,max,3,2,64,0.3,512,0.2,128,0.3,256,0.4,0.005,3,32
100,5,4,tanh,max,3,2,100,5,4,tanh,max,2,2,256,7,1,relu,256,7,4,relu,128,5,4,sigmoid,max,2,2,64,0.3,64,0.1,16,0.2,32,0.3,0.008,3,64
256,3,4,relu,avg,2,2,32,3,4,leakyrelu,avg,2,2,160,7,1,tanh,64,7,1,leakyrelu,96,5,4,leakyrelu,avg,3,1,512,0.5,256,0.4,16,0.2,64,0.3,0.0005,3,32
192,3,1,sigmoid,max,2,2,160,3,1,sigmoid,max,2,1,96,3,1,tanh,128,3,1,tanh,100,3,1,sigmoid,avg,3,1,64,0.5,128,0.3,32,0.5,512,0.1,0.001,3,64
128,5,4,sigmoid,avg,2,2,224,5,4,sigmoid,max,2,2,256,5,4,sigmoid,100,7,1,relu,256,5,4,relu,avg,2,1,128,0.3,256,0.5,64,0.2,32,0.5,0.0008,3,64
224,5,1,relu,avg,3,1,256,3,4,relu,avg,2,2,96,7,1,tanh,100,5,1,leakyrelu,32,3,4,tanh,avg,2,1,64,0.5,64,0.1,0,,128,0.4,0.0005,3,64
224,7,4,sigmoid,max,2,1,160,7,4,sigmoid,avg,3,2,100,3,1,sigmoid,96,3,4,sigmoid,128,7,4,tanh,avg,3,2,0,,0,,0,,512,0.2,0.0005,3,32
